time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1161.92,1161.42,1171.49,1152.92,-6.5,-0.56,84.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1159.65,1168.03,1176.4,1154.86,6.61,0.57,90.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1166.36,1149.79,1169.46,1147.14,-18.24,-1.56,75.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1146.74,1165.8,1169.58,1144.66,16.01,1.39,79.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1164.1,1173.07,1174.17,1163.27,7.27,0.62,72.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1182.64,1205.96,1220.26,1175.76,32.88,2.8,233.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1207.25,1208.9,1211.6,1199.83,2.95,0.24,148.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1204.08,1198.24,1205.87,1192.23,-10.67,-0.88,130.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1206.07,1212.74,1214.43,1187.5,14.5,1.21,119.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1217.99,1210.97,1225.66,1209.06,-1.77,-0.15,127.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1315.9,1055.09
2012-09-14,1225.57,1224.53,1237.29,1207.05,13.56,1.12,137.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1322.9,1060.7
2012-09-17,1222.52,1190.14,1222.52,1188.42,-34.39,-2.81,105.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1325.36,1062.67
2012-09-18,1202.97,1181.88,1212.88,1177.21,-8.26,-0.69,115.43,0.0,0.0,0.0,0.0,0.0,0.0,2,1328.92,1065.53
2012-09-19,1184.2,1192.43,1203.61,1175.54,10.55,0.89,85.32,0.0,0.0,0.0,0.0,0.0,0.0,2,1331.87,1067.9
2012-09-20,1191.47,1160.8,1191.47,1156.61,-31.63,-2.65,107.31,0.0,0.0,0.0,0.0,0.0,0.0,2,1330.51,1066.81
2012-09-21,1157.07,1157.55,1166.59,1146.57,-3.25,-0.28,68.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1325.14,1062.5
2012-09-24,1154.11,1170.39,1179.29,1140.61,12.84,1.11,75.11,0.0,0.0,0.0,29.56,43.15,2.37,2,1320.86,1059.07
2012-09-25,1168.81,1164.61,1171.93,1153.65,-5.78,-0.49,52.16,0.0,0.0,0.0,27.98,38.1,7.75,2,1317.13,1056.08
2012-09-26,1162.73,1153.48,1170.59,1148.02,-11.13,-0.96,71.31,0.0,0.0,0.0,23.09,33.09,3.09,2,1310.55,1050.8
2012-09-27,1152.01,1175.96,1181.8,1143.26,22.49,1.95,159.46,1225.27,1181.33,1137.4,29.78,31.99,25.36,2,1306.67,1047.69
2012-09-28,1170.82,1190.24,1192.28,1167.12,14.27,1.21,159.76,1225.89,1182.78,1139.66,42.74,35.57,57.08,2,1302.86,1044.64
2012-10-08,1189.85,1161.09,1197.86,1155.09,-29.15,-2.45,92.99,1226.12,1182.43,1138.74,39.33,36.83,44.34,2,1299.64,1042.05
2012-10-09,1162.49,1181.88,1185.14,1162.49,20.79,1.79,100.65,1225.09,1184.03,1142.98,50.25,41.3,68.15,2,1299.64,1042.05
2012-10-10,1185.73,1189.43,1192.59,1176.73,7.55,0.64,98.96,1225.46,1185.21,1144.97,61.93,48.18,89.42,2,1299.3,1041.78
2012-10-11,1185.47,1171.71,1187.75,1170.52,-17.72,-1.49,65.79,1225.48,1185.15,1144.82,59.39,51.91,74.34,2,1300.51,1042.75
2012-10-12,1174.71,1174.78,1186.34,1165.71,3.07,0.26,67.88,1222.98,1183.59,1144.2,58.84,54.22,68.07,2,1302.43,1044.29
2012-10-15,1174.3,1169.75,1175.23,1159.54,-5.03,-0.43,49.19,1219.66,1181.63,1143.6,55.4,54.61,56.96,2,1302.36,1044.23
2012-10-16,1169.98,1163.86,1177.79,1161.34,-5.89,-0.5,77.43,1217.89,1179.91,1141.93,49.51,52.91,42.7,2,1302.27,1044.16
2012-10-17,1165.6,1150.44,1168.87,1139.81,-13.42,-1.15,65.59,1213.7,1176.8,1139.89,39.11,48.31,20.71,2,1301.93,1043.89
2012-10-18,1154.1,1171.55,1173.74,1152.59,21.12,1.84,87.5,1208.27,1174.82,1141.38,44.3,46.97,38.95,2,1301.45,1043.5
2012-10-19,1168.88,1171.59,1173.75,1163.82,0.04,0.0,57.55,1196.64,1172.18,1147.72,49.6,47.85,53.11,2,1299.37,1041.84
2012-10-22,1165.0,1170.57,1174.49,1158.1,-1.02,-0.09,71.46,1194.23,1171.2,1148.17,52.5,49.4,58.69,2,1300.43,1042.68
2012-10-23,1171.78,1159.12,1173.99,1156.08,-11.45,-0.98,72.18,1193.12,1170.06,1147.01,48.42,49.07,47.12,2,1297.9,1040.66
2012-10-24,1158.96,1166.39,1168.84,1157.42,7.27,0.63,71.41,1189.43,1168.76,1148.09,51.32,49.82,54.32,2,1295.34,1038.61
2012-10-25,1172.67,1173.14,1185.24,1167.41,6.75,0.58,148.16,1189.8,1169.38,1148.95,58.67,52.77,70.47,2,1295.5,1038.74
2012-10-26,1169.69,1138.61,1174.9,1132.33,-34.54,-2.94,186.62,1192.4,1168.43,1144.45,43.07,49.54,30.13,2,1291.49,1035.52
2012-10-29,1135.5,1140.42,1142.47,1132.34,1.81,0.16,119.13,1193.8,1166.93,1140.06,33.81,44.3,12.84,2,1288.23,1032.91
2012-10-30,1138.56,1125.7,1142.73,1124.02,-14.72,-1.29,105.48,1197.32,1164.99,1132.65,23.45,37.35,-4.33,2,1284.0,1029.51
2012-10-31,1125.77,1125.05,1129.59,1118.51,-0.65,-0.06,81.31,1200.04,1163.56,1127.09,18.9,31.2,-5.69,2,1281.18,1027.25
2012-11-01,1124.59,1143.69,1147.09,1123.95,18.64,1.66,105.82,1198.94,1161.95,1124.96,25.18,29.19,17.15,2,1278.09,1024.77
2012-11-02,1143.01,1143.66,1145.65,1132.7,-0.03,0.0,83.79,1195.02,1159.62,1124.22,29.35,29.25,29.56,2,1274.98,1022.29
2012-11-05,1139.41,1155.82,1156.8,1137.98,12.16,1.06,99.56,1194.79,1159.36,1123.93,38.2,32.23,50.15,2,1273.35,1020.97
2012-11-06,1155.56,1144.11,1155.58,1131.49,-11.71,-1.01,91.57,1191.91,1157.47,1123.03,38.26,34.24,46.29,2,1271.68,1019.64
2012-11-07,1143.47,1138.09,1144.96,1132.44,-6.03,-0.53,54.46,1187.01,1154.9,1122.8,37.08,35.19,40.86,2,1268.54,1017.12
2012-11-08,1131.38,1108.9,1131.38,1107.48,-29.18,-2.56,72.06,1188.61,1151.76,1114.91,25.68,32.02,13.0,2,1261.41,1011.4
2012-11-09,1108.98,1098.44,1113.18,1094.67,-10.46,-0.94,98.42,1189.92,1147.94,1105.97,19.14,27.73,1.97,2,1256.95,1007.83
2012-11-12,1099.45,1099.48,1105.44,1093.19,1.04,0.09,104.22,1190.12,1144.43,1098.74,16.06,23.84,0.5,2,1252.41,1004.18
2012-11-13,1099.26,1079.64,1099.62,1079.51,-19.84,-1.8,80.84,1192.95,1140.22,1087.49,10.76,19.48,-6.67,2,1247.29,1000.08
2012-11-14,1080.42,1084.0,1086.34,1073.08,4.36,0.4,62.2,1194.76,1136.9,1079.04,11.52,16.83,0.91,2,1242.74,996.43
2012-11-15,1078.14,1052.14,1078.96,1051.0,-31.86,-2.94,64.24,1197.28,1130.93,1064.58,8.04,13.9,-3.67,2,1232.58,988.28
2012-11-16,1049.21,1040.32,1052.16,1034.75,-11.82,-1.12,88.79,1198.8,1124.36,1049.93,6.9,11.56,-2.44,2,1221.1,979.08
2012-11-19,1039.73,1035.26,1041.16,1020.92,-5.06,-0.49,121.16,1198.34,1117.6,1036.86,8.45,10.53,4.3,1,1207.72,968.35
2012-11-20,1039.97,1027.89,1041.21,1026.6,-7.38,-0.71,60.04,1198.28,1111.04,1023.79,7.74,9.6,4.02,1,1194.82,958.01
2012-11-21,1028.99,1042.92,1043.73,1021.95,15.04,1.46,72.9,1193.03,1104.86,1016.69,13.11,10.77,17.79,1,1184.26,949.54
2012-11-22,1041.9,1040.42,1050.81,1035.97,-2.5,-0.24,54.08,1184.81,1098.23,1011.65,16.43,12.65,23.98,2,1176.66,943.45
2012-11-23,1045.61,1048.07,1055.61,1039.79,7.65,0.74,67.02,1180.83,1093.7,1006.57,22.45,15.92,35.52,2,1171.07,938.96
2012-11-26,1049.49,1037.48,1067.32,1036.4,-10.59,-1.01,44.96,1176.19,1088.55,1000.91,23.41,18.42,33.39,2,1164.18,933.44
2012-11-27,1035.56,1022.24,1044.21,1017.25,-15.25,-1.47,75.58,1173.81,1083.38,992.95,18.3,18.38,18.14,2,1157.81,928.34
2012-11-28,1019.54,995.15,1020.29,994.01,-27.09,-2.65,63.14,1172.9,1076.89,980.87,12.72,16.49,5.17,2,1147.95,920.43
2012-11-29,997.71,995.0,1007.11,993.1,-0.15,-0.02,64.25,1166.64,1069.45,972.26,9.33,14.1,-0.21,2,1141.61,915.34
2012-11-30,993.74,1002.4,1005.69,992.68,7.4,0.74,72.21,1157.49,1062.39,967.29,10.56,12.92,5.84,2,1137.4,911.97
2012-12-03,1004.91,983.19,1010.22,974.33,-19.21,-1.92,96.57,1144.61,1053.76,962.9,10.22,12.02,6.61,2,1131.62,907.33
2012-12-04,983.61,994.55,995.25,967.16,11.36,1.16,75.33,1130.54,1046.28,962.02,15.93,13.32,21.13,2,1127.92,904.37
2012-12-05,991.08,1026.9,1032.8,984.63,32.35,3.25,131.59,1113.96,1040.72,967.47,30.5,19.05,53.4,2,1126.14,902.94
2012-12-06,1035.52,1022.17,1041.66,1014.58,-4.72,-0.46,77.62,1102.93,1036.38,969.83,38.64,25.58,64.76,2,1124.11,901.32
2012-12-07,1027.98,1045.6,1046.74,1024.94,23.43,2.29,108.96,1094.14,1033.74,973.35,58.62,36.59,102.67,2,1123.84,901.1
2012-12-10,1052.62,1074.31,1076.94,1049.79,28.7,2.75,159.81,1088.22,1032.48,976.75,71.61,48.27,118.31,2,1127.93,904.37
2012-12-11,1072.95,1072.72,1080.12,1065.04,-1.59,-0.15,173.02,1086.77,1032.14,977.5,78.89,58.47,119.73,2,1133.53,908.87
2012-12-12,1068.7,1078.33,1078.33,1062.54,5.61,0.52,132.31,1085.46,1031.85,978.25,85.4,67.45,121.3,2,1142.76,916.27
2012-12-13,1072.23,1057.41,1077.06,1055.67,-20.91,-1.94,89.89,1086.16,1032.12,978.07,83.56,72.82,105.05,2,1149.69,921.82
2012-12-14,1063.28,1094.61,1097.29,1054.21,37.19,3.52,244.48,1095.32,1034.83,974.34,88.36,78.0,109.07,2,1159.93,930.03
2012-12-17,1100.44,1094.16,1106.24,1084.57,-0.45,-0.04,251.77,1103.57,1037.78,971.98,88.93,81.64,103.5,0,1172.24,939.91
2012-12-18,1093.0,1095.39,1103.9,1085.14,1.23,0.11,184.74,1111.35,1041.15,970.96,88.67,83.99,98.05,0,1183.44,948.88
2012-12-19,1094.82,1094.74,1101.61,1089.66,-0.65,-0.06,158.26,1117.73,1043.74,969.75,87.73,85.23,92.73,0,1190.97,954.92
2012-12-20,1090.22,1094.46,1097.0,1078.83,-0.28,-0.03,182.26,1123.63,1046.44,969.26,84.87,85.11,84.37,2,1198.99,961.35
2012-12-21,1094.47,1089.26,1103.34,1082.94,-5.2,-0.48,149.53,1127.92,1048.5,969.09,79.03,83.09,70.93,2,1203.84,965.24
2012-12-24,1090.38,1089.88,1097.71,1085.46,0.62,0.06,99.41,1132.35,1051.12,969.9,75.54,80.57,65.48,2,1205.57,966.63
2012-12-25,1090.0,1111.27,1116.34,1084.6,21.39,1.96,224.02,1139.69,1055.57,971.46,80.97,80.7,81.51,2,1209.85,970.06
2012-12-26,1110.15,1122.3,1123.0,1108.3,11.04,0.99,141.93,1146.03,1061.93,977.83,86.98,82.8,95.34,2,1214.73,973.97
2012-12-27,1123.38,1108.29,1129.34,1107.08,-14.02,-1.25,181.89,1148.09,1067.6,987.11,77.43,81.01,70.27,2,1220.37,978.5
2012-12-28,1111.17,1112.93,1114.0,1104.71,4.64,0.42,134.86,1150.05,1073.12,996.2,74.12,78.71,64.94,2,1222.41,980.13
2012-12-31,1115.21,1124.11,1127.34,1112.12,11.19,1.01,194.22,1148.15,1080.17,1012.19,79.3,78.91,80.08,2,1225.73,982.79
2013-01-04,1131.23,1115.02,1134.13,1108.79,-9.09,-0.81,207.5,1143.22,1086.19,1029.16,74.68,77.5,69.04,2,1227.91,984.54
2013-01-07,1116.05,1138.84,1139.38,1114.0,23.82,2.14,157.37,1146.37,1091.79,1037.21,82.8,79.26,89.87,2,1232.81,988.47
2013-01-08,1141.05,1170.72,1178.05,1131.86,31.89,2.8,213.61,1154.3,1099.22,1044.13,85.92,81.48,94.79,2,1241.27,995.25
2013-01-09,1168.46,1178.68,1192.09,1160.45,7.96,0.68,307.0,1165.41,1105.87,1046.33,86.45,83.14,93.08,2,1251.2,1003.21
2013-01-10,1176.2,1177.96,1187.96,1166.7,-0.73,-0.06,196.52,1176.46,1111.05,1045.65,85.58,83.95,88.83,2,1260.97,1011.05
2013-01-11,1178.23,1150.77,1189.7,1147.04,-27.19,-2.31,204.1,1180.06,1114.96,1049.85,74.62,80.84,62.18,2,1265.36,1014.57
2013-01-14,1145.64,1187.04,1191.03,1142.66,36.27,3.15,214.18,1190.33,1120.39,1050.45,81.16,80.95,81.57,2,1272.54,1020.33
2013-01-15,1189.72,1199.96,1206.16,1188.67,12.92,1.09,243.42,1199.36,1127.52,1055.68,85.31,82.4,91.14,2,1282.72,1028.49
2013-01-16,1198.9,1198.91,1216.01,1178.92,-1.05,-0.09,204.35,1209.25,1132.73,1056.22,84.89,83.23,88.21,2,1292.26,1036.14
2013-01-17,1201.42,1186.62,1203.16,1177.66,-12.29,-1.03,149.9,1215.16,1137.36,1059.56,80.33,82.26,76.45,0,1299.2,1041.7
2013-01-18,1189.84,1210.46,1213.15,1186.16,23.83,2.01,214.52,1224.58,1143.11,1061.65,84.69,83.07,87.91,0,1309.8,1050.2
2013-01-21,1211.43,1219.75,1227.84,1202.16,9.29,0.77,237.81,1234.14,1149.36,1064.58,86.62,84.26,91.36,0,1318.78,1057.4
2013-01-22,1216.6,1197.25,1219.69,1186.17,-22.5,-1.84,259.84,1237.79,1154.5,1071.21,79.11,82.54,72.25,2,1321.72,1059.76
2013-01-23,1188.7,1203.11,1204.16,1180.38,5.86,0.49,142.51,1240.37,1160.19,1080.01,76.4,80.49,68.21,2,1324.43,1061.93
2013-01-24,1202.09,1177.82,1213.56,1167.0,-25.29,-2.1,209.23,1238.25,1164.59,1090.94,64.69,75.23,43.62,2,1324.42,1061.92
2013-01-25,1174.87,1185.03,1190.74,1173.32,7.21,0.61,130.15,1238.18,1168.28,1098.38,53.01,67.82,23.38,2,1328.22,1064.97
2013-01-28,1186.81,1206.75,1207.39,1185.27,21.72,1.83,154.56,1240.97,1172.5,1104.04,57.12,64.25,42.84,2,1330.41,1066.72
2013-01-29,1211.35,1223.59,1230.21,1209.52,16.84,1.4,179.83,1243.47,1178.27,1113.06,67.92,65.47,72.81,2,1333.03,1068.83
2013-01-30,1229.76,1218.04,1231.04,1206.97,-5.56,-0.45,253.46,1243.56,1183.52,1123.49,71.85,67.6,80.34,2,1335.15,1070.53
2013-01-31,1215.7,1215.62,1227.12,1213.0,-2.42,-0.2,307.59,1243.06,1188.1,1133.14,73.2,69.47,80.68,2,1338.37,1073.11
2013-02-01,1208.92,1216.63,1223.28,1203.89,1.01,0.08,211.34,1238.03,1193.18,1148.32,74.64,71.19,81.53,2,1339.06,1073.66
2013-02-04,1218.49,1197.14,1222.03,1190.34,-19.49,-1.6,347.77,1233.38,1196.09,1158.8,65.45,69.28,57.79,2,1336.55,1071.65
2013-02-05,1189.46,1200.73,1201.86,1181.41,3.59,0.3,220.33,1233.05,1197.59,1162.14,61.19,66.58,50.4,2,1336.94,1071.96
