time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3776.09,3763.3,3856.39,3750.29,106.27,2.91,319.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3708.54,3829.02,3829.02,3691.1,65.72,1.75,244.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3819.8,3784.64,3850.42,3778.99,-44.38,-1.16,167.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3769.85,3659.63,3778.28,3627.71,-125.01,-3.3,198.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3644.75,3621.08,3723.46,3592.51,-38.55,-1.05,148.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3609.34,3621.36,3629.43,3519.43,0.28,0.01,117.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3658.73,3607.25,3683.38,3552.06,-14.11,-0.39,113.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3631.48,3612.06,3650.12,3556.62,4.81,0.13,129.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3603.93,3489.59,3603.93,3483.88,-122.47,-3.39,132.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3408.01,3308.62,3439.19,3286.31,-180.97,-5.19,172.78,0.0,0.0,0.0,0.0,0.0,0.0,2,4028.92,3230.39
2011-01-18,3299.73,3280.99,3300.61,3239.28,-27.63,-0.84,96.18,0.0,0.0,0.0,0.0,0.0,0.0,2,3975.38,3187.47
2011-01-19,3296.03,3427.4,3436.63,3282.79,146.41,4.46,123.13,0.0,0.0,0.0,0.0,0.0,0.0,2,3930.8,3151.72
2011-01-20,3408.58,3247.53,3408.58,3245.13,-179.87,-5.25,126.31,0.0,0.0,0.0,0.0,0.0,0.0,2,3871.18,3103.92
2011-01-21,3230.77,3292.25,3329.77,3213.51,44.72,1.38,111.36,0.0,0.0,0.0,0.0,0.0,0.0,1,3830.4,3071.22
2011-01-24,3295.77,3164.86,3302.88,3164.86,-127.39,-3.87,97.07,0.0,0.0,0.0,0.0,0.0,0.0,1,3779.76,3030.62
2011-01-25,3156.24,3129.04,3166.64,3100.61,-35.82,-1.13,74.74,0.0,0.0,0.0,0.0,0.0,0.0,1,3725.11,2986.8
2011-01-26,3133.61,3196.04,3208.68,3133.61,67.0,2.14,64.65,0.0,0.0,0.0,11.06,9.63,13.92,1,3679.47,2950.21
2011-01-27,3166.41,3291.05,3337.26,3149.72,95.01,2.97,117.77,0.0,0.0,0.0,26.12,15.12,48.11,1,3643.84,2921.64
2011-01-28,3287.23,3315.36,3323.26,3274.62,24.31,0.74,79.0,0.0,0.0,0.0,38.72,22.99,70.17,2,3624.5,2906.13
2011-01-31,3317.3,3347.63,3351.87,3302.07,32.27,0.97,95.69,3879.91,3449.44,3018.96,50.32,32.1,86.75,2,3628.83,2909.6
2011-02-01,3371.6,3401.81,3426.43,3364.95,54.18,1.62,106.53,3837.26,3431.36,3025.46,64.36,42.85,107.37,2,3642.24,2920.35
2011-02-09,3354.5,3243.4,3384.97,3238.86,-158.41,-4.66,120.04,3771.9,3402.08,3032.26,57.51,47.74,77.06,2,3621.82,2903.98
2011-02-10,3234.85,3325.72,3327.58,3190.09,82.32,2.54,122.39,3705.56,3379.13,3052.71,61.37,52.28,79.55,2,3630.49,2910.94
2011-02-11,3322.23,3323.86,3349.53,3302.36,-1.86,-0.06,107.05,3662.85,3362.34,3061.84,63.75,56.11,79.05,2,3634.0,2913.75
2011-02-14,3340.26,3497.24,3513.67,3340.26,173.38,5.22,234.84,3639.7,3356.15,3072.6,74.4,62.2,98.78,2,3670.9,2943.33
2011-02-15,3501.89,3507.24,3580.44,3472.76,10.0,0.29,223.12,3616.47,3350.45,3084.42,77.27,67.22,97.35,2,3712.88,2976.99
2011-02-16,3491.6,3609.2,3613.51,3487.37,101.96,2.91,194.23,3616.95,3350.54,3084.14,84.5,72.98,107.54,2,3758.74,3013.76
2011-02-17,3616.61,3594.16,3628.2,3550.44,-15.04,-0.42,181.56,3612.63,3349.65,3086.67,87.08,77.68,105.87,2,3792.38,3040.74
2011-02-18,3582.11,3518.6,3582.11,3503.08,-75.56,-2.1,131.72,3617.45,3351.1,3084.75,83.05,79.47,90.2,2,3814.94,3058.83
