time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,843.85,857.97,870.49,834.76,18.54,2.21,158.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,849.0,844.33,857.68,839.54,-13.64,-1.59,113.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,845.21,843.92,858.87,841.13,-0.41,-0.05,95.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,839.42,858.82,881.26,832.48,14.9,1.77,262.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,849.01,828.13,856.37,825.83,-30.69,-3.57,135.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,825.25,836.25,841.18,819.11,8.12,0.98,108.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,838.63,840.2,845.84,823.82,3.95,0.47,113.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,845.48,828.14,846.63,827.89,-12.06,-1.44,108.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,822.05,798.91,823.94,798.03,-29.23,-3.53,96.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,792.56,755.75,795.65,754.79,-43.16,-5.4,118.4,0.0,0.0,0.0,0.0,0.0,0.0,2,920.46,738.03
2011-01-18,753.75,760.29,770.97,748.17,4.54,0.6,71.16,0.0,0.0,0.0,0.0,0.0,0.0,2,909.62,729.33
2011-01-19,758.1,774.95,775.26,752.91,14.66,1.93,79.78,0.0,0.0,0.0,0.0,0.0,0.0,2,901.91,723.16
2011-01-20,773.74,746.2,773.74,746.08,-28.75,-3.71,81.37,0.0,0.0,0.0,0.0,0.0,0.0,2,891.07,714.46
2011-01-21,741.69,759.49,777.83,741.69,13.29,1.78,100.88,0.0,0.0,0.0,0.0,0.0,0.0,2,880.04,705.62
2011-01-24,755.38,744.55,761.05,744.55,-14.94,-1.97,65.82,0.0,0.0,0.0,0.0,0.0,0.0,2,870.77,698.18
2011-01-25,742.59,740.29,746.46,735.11,-4.26,-0.57,59.71,0.0,0.0,0.0,0.0,0.0,0.0,2,860.11,689.64
