time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1049.18,1009.83,1049.18,1009.49,1009.83,0.0,47.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,999.69,949.07,1000.0,946.07,-60.76,-6.02,64.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,942.55,949.53,951.1,918.21,0.46,0.05,54.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,945.2,977.02,979.13,932.55,27.49,2.9,70.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,973.99,1012.65,1013.98,973.22,35.63,3.65,91.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1006.93,1029.57,1045.36,1006.93,16.92,1.67,105.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1021.27,1015.91,1033.73,1015.26,-13.66,-1.33,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1014.71,966.58,1016.97,962.35,-49.33,-4.86,77.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,954.7,921.53,954.7,921.38,-45.05,-4.66,59.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,922.79,962.41,963.7,909.01,40.88,4.44,72.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1087.15,871.67
2012-01-18,967.32,917.52,970.87,915.53,-44.89,-4.66,77.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1076.9,863.46
2012-01-19,913.65,916.37,929.66,904.23,-1.15,-0.13,61.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.27,860.55
2012-01-20,921.68,931.4,933.39,917.34,15.03,1.64,50.13,0.0,0.0,0.0,0.0,0.0,0.0,2,1071.26,858.94
2012-01-30,935.34,934.02,947.44,929.0,2.62,0.28,44.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1066.48,855.11
2012-01-31,931.94,932.67,933.9,920.62,-1.35,-0.14,30.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1057.61,847.99
2012-02-01,930.6,931.51,945.94,929.16,-1.16,-0.12,37.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1046.72,839.26
2012-02-02,935.23,948.36,948.47,927.87,16.85,1.81,48.22,0.0,0.0,0.0,35.78,21.48,64.39,2,1039.22,833.25
2012-02-03,946.8,973.12,974.78,944.73,24.76,2.61,80.79,0.0,0.0,0.0,56.4,33.12,102.97,2,1039.95,833.83
2012-02-06,973.17,979.52,983.82,970.62,6.4,0.66,72.0,0.0,0.0,0.0,69.14,45.13,117.15,2,1046.39,838.99
2012-02-07,971.07,964.95,974.04,958.29,-14.57,-1.49,67.7,1028.58,961.18,893.78,71.52,53.92,106.71,2,1046.67,839.22
2012-02-08,964.5,987.32,987.32,959.31,22.37,2.32,71.22,1024.87,960.05,895.24,81.01,62.95,117.13,2,1054.42,845.43
2012-02-09,988.53,1000.51,1011.29,988.53,13.19,1.34,93.74,1029.54,962.62,895.71,83.38,69.76,110.61,2,1063.76,852.92
2012-02-10,997.3,1001.96,1007.13,995.03,1.45,0.14,73.71,1033.99,965.25,896.5,85.49,75.0,106.46,0,1071.59,859.2
2012-02-13,988.84,1023.0,1025.17,988.84,21.04,2.1,116.06,1040.64,967.54,894.44,89.58,79.86,109.02,0,1081.46,867.12
2012-02-14,1021.63,1015.76,1024.29,1010.92,-7.24,-0.71,77.29,1041.2,967.7,894.2,89.83,83.19,103.12,0,1090.69,874.51
2012-02-15,1016.44,1037.19,1042.79,1014.32,21.43,2.11,129.47,1042.92,968.08,893.24,91.32,85.9,102.16,0,1102.42,883.92
2012-02-16,1035.68,1043.91,1056.67,1034.55,6.72,0.65,174.57,1048.76,969.48,890.2,89.89,87.23,95.21,0,1113.02,892.42
2012-02-17,1049.67,1035.39,1049.67,1018.93,-8.52,-0.82,121.76,1057.22,972.92,888.63,86.05,86.83,84.48,0,1119.94,897.97
2012-02-20,1048.65,1043.18,1063.18,1043.18,7.79,0.75,128.98,1065.12,979.0,892.88,84.28,85.98,80.88,0,1127.0,903.63
2012-02-21,1040.35,1067.34,1067.34,1032.37,24.16,2.32,126.65,1078.12,984.25,890.38,89.52,87.16,94.24,0,1138.37,912.74
2012-02-22,1070.47,1097.4,1100.34,1070.47,30.06,2.82,165.61,1094.03,993.24,892.45,92.13,88.82,98.76,0,1150.59,922.54
2012-02-23,1096.04,1097.05,1105.25,1086.32,-0.35,-0.03,148.36,1106.23,1002.28,898.33,92.41,90.02,97.19,0,1161.3,931.13
2012-02-24,1097.79,1101.08,1104.84,1094.3,4.03,0.37,143.32,1117.84,1010.76,903.69,93.47,91.17,98.06,0,1172.3,939.96
2012-02-27,1104.8,1101.65,1117.96,1100.38,0.57,0.05,159.44,1127.12,1019.14,911.17,90.4,90.91,89.37,0,1181.03,946.96
2012-02-28,1094.12,1079.55,1097.28,1069.31,-22.1,-2.01,127.45,1129.82,1026.49,923.16,80.67,87.5,67.02,2,1188.12,952.63
2012-02-29,1075.62,1069.07,1082.54,1067.82,-10.48,-0.97,88.17,1128.48,1033.37,938.25,70.66,81.88,48.2,2,1191.65,955.47
2012-03-01,1068.55,1087.68,1097.68,1067.88,18.61,1.74,122.9,1129.76,1040.33,950.91,68.65,77.47,50.99,2,1196.51,959.37
2012-03-02,1089.03,1105.21,1105.21,1088.92,17.53,1.61,115.23,1135.03,1046.94,958.84,74.13,76.36,69.68,2,1204.26,965.58
2012-03-05,1107.26,1104.96,1110.7,1102.83,-0.25,-0.02,88.47,1139.04,1053.21,967.37,74.11,75.61,71.12,2,1211.12,971.08
2012-03-06,1100.01,1101.97,1109.55,1089.81,-2.99,-0.27,131.39,1138.15,1060.06,981.97,72.11,74.44,67.45,2,1214.96,974.16
2012-03-07,1088.11,1093.41,1110.38,1088.11,-8.56,-0.78,112.17,1137.12,1065.36,993.6,65.09,71.32,52.61,2,1214.52,973.81
2012-03-08,1103.44,1107.74,1110.17,1098.32,14.33,1.31,98.66,1138.2,1070.73,1003.25,69.93,70.86,68.07,2,1215.71,974.76
2012-03-09,1113.94,1126.78,1128.55,1112.03,19.04,1.72,123.27,1140.84,1076.97,1013.1,78.98,73.57,89.81,2,1218.56,977.04
2012-03-12,1128.68,1137.8,1137.8,1127.82,11.02,0.98,135.32,1146.78,1082.71,1018.63,85.99,77.71,102.55,2,1222.57,980.26
2012-03-13,1137.49,1154.48,1154.48,1132.84,16.68,1.47,120.78,1153.26,1089.64,1026.03,90.66,82.02,107.93,2,1230.89,986.93
2012-03-14,1159.85,1090.62,1161.3,1083.3,-63.86,-5.53,193.54,1151.21,1092.31,1033.42,63.57,75.87,38.96,2,1233.28,988.85
2012-03-15,1097.92,1082.77,1098.76,1061.82,-7.85,-0.72,133.88,1149.05,1094.26,1039.46,49.4,67.05,14.1,2,1232.74,988.41
2012-03-16,1088.69,1108.48,1108.48,1076.73,25.71,2.37,111.86,1145.84,1097.91,1049.99,48.57,60.89,23.93,2,1233.1,988.7
2012-03-19,1103.85,1124.4,1125.15,1102.9,15.92,1.44,94.59,1144.07,1101.97,1059.88,53.35,58.37,43.29,2,1235.26,990.43
2012-03-20,1118.03,1093.1,1118.03,1092.53,-31.3,-2.78,93.09,1142.52,1103.26,1064.0,46.05,54.26,29.61,2,1234.27,989.64
2012-03-21,1098.26,1083.97,1098.26,1068.43,-9.13,-0.84,88.5,1142.68,1102.59,1062.5,38.12,48.88,16.59,2,1233.23,988.8
2012-03-22,1083.79,1085.56,1093.39,1078.03,1.59,0.15,72.63,1142.73,1102.01,1061.3,33.37,43.71,12.68,2,1230.76,986.83
2012-03-23,1076.74,1068.25,1082.28,1061.52,-17.31,-1.59,71.84,1143.67,1100.37,1057.08,24.49,37.3,-1.13,2,1224.27,981.62
2012-03-26,1064.54,1071.95,1072.57,1061.03,3.7,0.35,73.22,1143.91,1098.89,1053.87,19.96,31.52,-3.17,2,1216.96,975.76
2012-03-27,1079.42,1077.54,1087.68,1074.32,5.59,0.52,74.62,1143.99,1098.79,1053.58,21.89,28.31,9.04,2,1208.42,968.91
2012-03-28,1073.58,1031.68,1074.09,1027.98,-45.86,-4.26,101.86,1149.39,1096.92,1044.44,15.86,24.16,-0.74,2,1201.87,963.67
2012-03-29,1022.73,1010.02,1022.73,992.28,-21.66,-2.1,89.54,1157.74,1093.03,1028.33,15.03,21.12,2.84,2,1193.8,957.19
2012-03-30,1009.64,1006.05,1013.01,997.34,-3.97,-0.39,63.62,1162.72,1088.08,1013.43,13.67,18.63,3.73,2,1182.43,948.07
2012-04-05,1007.2,1040.11,1040.11,1002.91,34.06,3.39,74.49,1161.86,1084.83,1007.81,24.15,20.47,31.52,2,1173.07,940.57
2012-04-06,1036.59,1050.15,1055.28,1036.19,10.04,0.97,92.3,1160.27,1082.24,1004.22,35.18,25.38,54.79,2,1168.31,936.75
2012-04-09,1041.64,1025.58,1045.66,1025.58,-24.57,-2.34,73.13,1160.45,1078.85,997.25,35.09,28.61,48.04,2,1161.82,931.55
2012-04-10,1015.04,1039.79,1039.79,1003.08,14.21,1.39,76.26,1157.62,1075.45,993.29,39.99,32.41,55.17,2,1156.74,927.48
2012-04-11,1023.26,1043.86,1048.51,1023.26,4.07,0.39,87.1,1151.03,1071.31,991.59,44.68,36.5,61.05,2,1154.04,925.31
2012-04-12,1044.58,1069.95,1070.67,1044.58,26.09,2.5,121.76,1141.57,1067.92,994.26,61.44,44.81,94.69,2,1153.82,925.13
2012-04-13,1074.68,1072.25,1082.36,1068.21,2.3,0.21,116.34,1125.95,1063.8,1001.66,70.55,53.39,104.87,2,1153.23,924.66
2012-04-16,1062.29,1067.03,1072.21,1061.12,-5.22,-0.49,73.79,1123.58,1062.62,1001.67,74.36,60.38,102.31,2,1157.15,927.81
2012-04-17,1062.96,1050.33,1068.9,1048.25,-16.7,-1.57,118.19,1121.45,1061.0,1000.56,69.47,63.41,81.58,2,1161.63,931.39
2012-04-18,1053.77,1073.91,1075.58,1050.12,23.58,2.25,110.73,1116.06,1059.27,1002.49,76.09,67.64,93.0,0,1169.16,937.43
2012-04-19,1072.02,1074.44,1077.65,1066.66,0.53,0.05,87.83,1105.74,1056.78,1007.82,80.73,72.0,98.19,0,1172.97,940.49
2012-04-20,1068.16,1083.81,1083.91,1065.84,9.37,0.87,110.09,1104.04,1056.31,1008.58,87.11,77.04,107.26,0,1176.71,943.48
