time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2600.7,2603.67,2619.91,2597.37,-3.66,-0.14,602.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2596.2,2616.14,2630.7,2590.96,12.47,0.48,991.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2613.12,2581.2,2616.93,2574.66,-34.94,-1.34,806.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2575.96,2560.82,2582.9,2551.91,-20.37,-0.79,922.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2565.93,2580.75,2582.28,2558.2,19.92,0.78,804.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2596.4,2683.81,2714.73,2596.4,103.06,3.99,2110.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2677.96,2681.6,2692.2,2667.66,-2.21,-0.08,1148.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2670.08,2654.03,2670.08,2632.18,-27.57,-1.03,787.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2668.42,2650.32,2677.69,2627.16,-3.7,-0.14,806.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2644.49,2636.24,2655.37,2635.37,-14.09,-0.53,649.27,0.0,0.0,0.0,0.0,0.0,0.0,2,2913.59,2336.12
2012-09-14,2654.07,2652.4,2672.73,2636.35,16.17,0.61,1104.27,0.0,0.0,0.0,0.0,0.0,0.0,2,2919.0,2340.46
2012-09-17,2646.53,2589.3,2647.61,2587.07,-63.1,-2.38,868.53,0.0,0.0,0.0,0.0,0.0,0.0,2,2916.02,2338.07
2012-09-18,2582.0,2568.28,2587.37,2559.73,-21.02,-0.81,599.67,0.0,0.0,0.0,0.0,0.0,0.0,2,2914.59,2336.92
2012-09-19,2571.0,2572.74,2582.79,2560.0,4.46,0.17,649.15,0.0,0.0,0.0,0.0,0.0,0.0,2,2915.91,2337.98
2012-09-20,2561.93,2524.97,2561.93,2518.72,-47.77,-1.86,789.54,0.0,0.0,0.0,0.0,0.0,0.0,2,2909.72,2333.02
2012-09-21,2516.48,2522.22,2542.42,2508.33,-2.75,-0.11,690.02,0.0,0.0,0.0,0.0,0.0,0.0,2,2891.78,2318.64
2012-09-24,2506.96,2537.48,2548.03,2496.48,15.26,0.6,762.69,0.0,0.0,0.0,18.76,25.46,5.36,2,2875.79,2305.81
2012-09-25,2531.42,2535.49,2551.75,2526.9,-1.98,-0.08,526.83,0.0,0.0,0.0,19.89,23.6,12.45,1,2862.63,2295.26
2012-09-26,2533.07,2519.74,2546.74,2515.36,-15.75,-0.62,526.37,0.0,0.0,0.0,17.66,21.62,9.73,1,2848.13,2283.64
2012-09-27,2521.98,2599.87,2625.07,2520.55,80.13,3.18,1344.0,2696.46,2593.55,2490.65,34.57,25.94,51.85,2,2844.1,2280.4
2012-09-28,2576.58,2630.65,2638.04,2575.01,30.78,1.18,1256.88,2699.01,2594.9,2490.8,54.64,35.51,92.91,2,2841.68,2278.47
2012-10-08,2627.78,2615.35,2648.44,2599.94,-15.3,-0.58,736.5,2698.93,2594.86,2490.79,62.5,44.51,98.5,2,2844.57,2280.78
2012-10-09,2627.67,2673.43,2686.65,2627.67,58.08,2.22,1136.7,2708.76,2599.47,2490.19,72.68,53.9,110.26,2,2856.25,2290.14
2012-10-10,2667.7,2671.7,2677.83,2656.43,-1.73,-0.06,697.93,2717.11,2605.02,2492.93,79.17,62.32,112.86,2,2867.23,2298.95
2012-10-11,2664.23,2652.2,2669.12,2646.87,-19.5,-0.73,749.1,2721.91,2608.59,2495.27,80.07,68.24,103.74,2,2881.35,2310.27
2012-10-12,2661.97,2665.71,2691.49,2645.81,13.52,0.51,897.53,2718.86,2607.69,2496.52,81.84,72.77,99.97,2,2897.28,2323.04
