time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,708.18,686.49,708.18,686.49,0.0,-2.4,116.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,683.77,669.7,683.78,669.47,0.0,-2.45,128.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,667.75,673.42,673.42,657.73,0.0,0.56,101.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,672.98,695.67,695.68,668.23,0.0,3.3,140.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,694.56,721.54,721.63,694.56,0.0,3.72,208.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,720.07,718.87,725.17,715.32,0.0,-0.37,158.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,718.02,716.93,727.21,716.78,0.0,-0.27,154.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,716.77,694.56,716.77,691.43,0.0,-3.12,141.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,688.55,676.73,692.3,676.59,0.0,-2.57,85.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,675.87,708.32,708.32,668.67,0.0,4.67,162.46,0.0,0.0,0.0,0.0,0.0,0.0,2,772.81,619.64
2012-01-18,708.24,687.11,709.91,685.56,0.0,-2.99,164.64,0.0,0.0,0.0,0.0,0.0,0.0,2,772.88,619.69
2012-01-19,684.44,691.91,696.76,684.44,0.0,0.7,117.43,0.0,0.0,0.0,0.0,0.0,0.0,2,775.34,621.67
2012-01-20,692.77,703.31,705.53,692.77,0.0,1.65,127.64,0.0,0.0,0.0,0.0,0.0,0.0,2,778.66,624.33
2012-01-30,703.74,697.64,704.64,697.56,0.0,-0.81,103.24,0.0,0.0,0.0,0.0,0.0,0.0,2,778.88,624.51
2012-01-31,697.39,696.35,697.49,691.3,0.0,-0.19,70.75,0.0,0.0,0.0,0.0,0.0,0.0,2,776.08,622.26
2012-02-01,695.09,690.76,702.96,690.69,0.0,-0.8,99.46,0.0,0.0,0.0,0.0,0.0,0.0,2,772.96,619.76
2012-02-02,692.6,703.51,703.51,690.47,0.0,1.85,130.38,0.0,0.0,0.0,59.81,50.52,78.38,2,771.47,618.57
2012-02-03,702.8,717.72,719.12,702.8,0.0,2.02,192.62,0.0,0.0,0.0,72.28,57.78,101.29,2,774.04,620.63
