time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3115.84,3108.54,3133.04,3107.14,-14.71,-0.47,1386.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3104.14,3128.58,3143.93,3099.42,20.04,0.64,2173.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3129.93,3095.05,3133.41,3086.84,-33.53,-1.07,1896.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3089.21,3079.44,3098.23,3065.76,-15.6,-0.5,1914.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3083.74,3102.18,3103.51,3076.07,22.73,0.74,1711.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3122.55,3225.63,3262.13,3122.55,123.46,3.98,4927.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3227.09,3226.48,3240.31,3212.3,0.85,0.03,3202.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3214.35,3199.35,3214.35,3176.68,-27.14,-0.84,2175.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3217.04,3200.84,3231.6,3176.0,1.49,0.05,2351.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3196.35,3179.89,3209.31,3179.63,-20.95,-0.65,1813.5,0.0,0.0,0.0,0.0,0.0,0.0,2,3501.6,2807.59
2012-09-14,3210.89,3204.15,3225.88,3184.99,24.26,0.76,2891.56,0.0,0.0,0.0,0.0,0.0,0.0,2,3512.22,2816.1
2012-09-17,3198.2,3134.55,3202.01,3133.15,-69.6,-2.17,2363.41,0.0,0.0,0.0,0.0,0.0,0.0,2,3512.88,2816.63
2012-09-18,3122.71,3102.27,3125.55,3094.46,-32.28,-1.03,1602.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3513.68,2817.28
2012-09-19,3104.6,3111.22,3118.09,3093.85,8.95,0.29,1778.77,0.0,0.0,0.0,0.0,0.0,0.0,2,3517.21,2820.1
2012-09-20,3100.29,3053.01,3100.29,3051.59,-58.21,-1.87,2162.69,0.0,0.0,0.0,0.0,0.0,0.0,2,3511.75,2815.73
2012-09-21,3045.95,3057.11,3080.61,3042.19,4.1,0.13,2068.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3493.04,2800.73
2012-09-24,3038.94,3073.57,3086.31,3023.26,16.46,0.54,1922.37,0.0,0.0,0.0,20.67,29.93,2.14,2,3476.07,2787.12
2012-09-25,3067.36,3069.77,3085.69,3059.56,-3.8,-0.12,1395.9,0.0,0.0,0.0,21.43,27.1,10.1,1,3461.69,2775.59
2012-09-26,3067.37,3046.02,3077.21,3040.61,-23.75,-0.77,1326.27,0.0,0.0,0.0,18.03,24.08,5.94,1,3444.5,2761.81
2012-09-27,3047.74,3141.76,3162.38,3046.92,95.74,3.14,2802.34,3243.15,3126.97,3010.79,34.12,27.42,47.51,2,3440.27,2758.42
2012-09-28,3116.55,3193.93,3200.81,3114.38,52.18,1.66,3206.52,3250.63,3131.24,3011.85,54.79,36.54,91.27,2,3439.14,2757.51
2012-10-08,3191.11,3161.48,3212.29,3145.42,-32.46,-1.02,1772.15,3252.98,3132.88,3012.79,60.9,44.66,93.37,2,3442.13,2759.9
2012-10-09,3178.46,3225.65,3240.42,3178.46,64.18,2.03,2479.48,3264.67,3139.42,3014.16,71.67,53.66,107.67,2,3455.82,2770.88
2012-10-10,3219.17,3222.76,3226.97,3204.15,-2.89,-0.09,1694.67,3273.67,3146.58,3019.49,78.4,61.91,111.38,2,3468.2,2780.81
2012-10-11,3213.49,3201.54,3218.99,3193.01,-21.22,-0.66,1744.12,3279.08,3151.55,3024.02,79.63,67.82,103.26,2,3484.69,2794.03
2012-10-12,3212.73,3207.76,3241.87,3187.8,6.22,0.19,1821.14,3276.33,3150.66,3024.98,80.77,72.13,98.05,2,3501.41,2807.44
