time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2688.86,2712.73,2715.12,2657.25,40.47,1.51,1024.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2700.64,2707.28,2721.25,2693.41,-5.45,-0.2,1013.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2706.78,2698.58,2730.21,2692.37,-8.7,-0.32,674.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2696.18,2742.49,2778.06,2688.01,43.91,1.63,1337.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2733.41,2694.83,2757.87,2692.49,-47.66,-1.74,937.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2685.02,2724.3,2728.19,2683.52,29.47,1.09,810.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2732.52,2750.1,2754.97,2708.03,25.8,0.95,858.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2759.99,2745.99,2763.03,2740.94,-4.11,-0.15,710.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2736.81,2715.96,2736.81,2709.92,-30.03,-1.09,669.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2696.34,2623.86,2712.17,2616.65,-92.1,-3.39,917.31,0.0,0.0,0.0,0.0,0.0,0.0,2,3009.89,2413.33
2011-01-18,2616.46,2629.0,2636.71,2604.76,5.14,0.2,556.06,0.0,0.0,0.0,0.0,0.0,0.0,2,3000.6,2405.88
2011-01-19,2629.44,2669.98,2671.18,2617.17,40.98,1.56,596.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2996.45,2402.56
2011-01-20,2665.03,2593.1,2667.21,2593.1,-76.88,-2.88,751.14,0.0,0.0,0.0,0.0,0.0,0.0,2,2984.75,2393.18
2011-01-21,2590.58,2644.69,2681.12,2590.58,51.59,1.99,954.23,0.0,0.0,0.0,0.0,0.0,0.0,2,2973.89,2384.47
2011-01-24,2645.31,2630.71,2662.48,2622.45,-13.98,-0.53,827.68,0.0,0.0,0.0,0.0,0.0,0.0,2,2966.77,2378.76
2011-01-25,2628.18,2631.69,2648.9,2615.92,0.98,0.04,679.26,0.0,0.0,0.0,0.0,0.0,0.0,2,2956.49,2370.52
2011-01-26,2633.34,2663.97,2667.76,2631.94,32.28,1.23,592.19,0.0,0.0,0.0,32.71,25.21,47.7,2,2946.93,2362.86
2011-01-27,2643.72,2696.25,2702.58,2627.88,32.28,1.21,1127.94,0.0,0.0,0.0,50.77,33.73,84.86,2,2941.41,2358.43
2011-01-28,2688.47,2696.6,2709.18,2678.91,0.35,0.01,833.2,0.0,0.0,0.0,63.65,43.71,103.53,2,2939.26,2356.71
2011-01-31,2693.39,2720.92,2722.86,2685.53,24.32,0.9,795.98,2774.39,2684.65,2594.92,75.28,54.23,117.37,2,2950.04,2365.34
2011-02-01,2722.55,2716.38,2723.72,2701.1,-4.54,-0.17,576.31,2774.81,2684.83,2594.86,81.68,63.38,118.28,2,2959.74,2373.12
2011-02-09,2701.32,2687.43,2730.16,2682.43,-28.95,-1.07,777.65,2773.24,2683.84,2594.44,77.58,68.11,96.52,2,2961.67,2374.67
2011-02-10,2682.68,2737.9,2739.81,2678.08,50.47,1.88,822.18,2778.1,2685.81,2593.51,84.54,73.59,106.44,2,2977.75,2387.56
2011-02-11,2735.49,2754.8,2764.89,2731.32,16.9,0.62,1019.51,2780.37,2686.42,2592.47,87.44,78.2,105.9,2,2989.97,2397.36
2011-02-14,2758.15,2844.88,2852.17,2758.15,90.08,3.27,1645.73,2810.58,2693.93,2577.27,90.54,82.32,106.99,2,3013.74,2416.42
2011-02-15,2846.92,2824.08,2860.25,2822.19,-20.8,-0.73,1405.55,2828.19,2698.91,2569.64,88.51,84.38,96.76,2,3035.1,2433.55
2011-02-16,2818.55,2835.68,2836.72,2803.4,11.6,0.41,1138.36,2844.11,2703.19,2562.28,87.84,85.53,92.46,2,3054.16,2448.83
2011-02-17,2842.26,2840.4,2857.09,2817.66,4.72,0.17,1109.38,2860.12,2707.91,2555.71,88.26,86.44,91.9,2,3070.16,2461.66
2011-02-18,2834.36,2816.42,2838.89,2808.71,-23.98,-0.84,994.98,2872.33,2712.94,2553.54,84.15,85.68,81.1,2,3083.46,2472.32
2011-02-21,2799.15,2836.74,2836.86,2796.99,20.32,0.72,1032.48,2886.16,2723.58,2561.0,85.13,85.5,84.41,2,3096.31,2482.63
2011-02-22,2839.83,2750.78,2840.5,2750.36,-85.96,-3.03,1163.95,2886.65,2729.67,2572.69,70.06,80.35,49.47,2,3100.13,2485.69
2011-02-23,2745.69,2762.18,2770.75,2745.69,11.4,0.41,753.42,2889.38,2734.28,2579.18,54.68,71.8,20.46,2,3108.43,2492.34
2011-02-24,2762.97,2789.81,2794.16,2751.62,27.63,1.0,1053.3,2886.59,2744.12,2601.64,49.29,64.3,19.29,2,3114.19,2496.96
2011-02-25,2787.22,2797.52,2816.98,2769.23,7.71,0.28,1049.06,2888.36,2751.76,2615.16,47.94,58.84,26.14,2,3118.93,2500.77
2011-02-28,2796.9,2823.83,2826.18,2777.36,26.31,0.94,1077.23,2889.46,2761.41,2633.37,55.34,57.68,50.68,2,3116.6,2498.89
2011-03-01,2826.64,2834.59,2850.51,2820.77,10.76,0.38,1210.6,2888.56,2771.56,2654.56,63.5,59.62,71.26,2,3117.76,2499.83
2011-03-02,2820.29,2837.41,2850.61,2809.61,2.82,0.1,1187.32,2889.5,2780.23,2670.96,71.47,63.57,87.28,2,3117.95,2499.98
2011-03-03,2839.87,2839.92,2877.56,2837.74,2.51,0.09,1443.64,2892.47,2787.41,2682.36,71.47,66.2,82.0,2,3117.9,2499.94
