time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.69,992.51,1006.69,979.72,-7.49,-0.75,1335.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,987.22,993.33,993.5,985.32,0.82,0.08,987.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,991.54,1002.94,1005.99,988.43,9.61,0.97,1078.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1000.32,1008.99,1014.92,1000.06,6.05,0.6,1237.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1009.15,1010.16,1017.49,1004.82,1.17,0.12,940.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1013.95,990.18,1013.95,988.19,-19.98,-1.98,1037.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,987.97,1021.94,1023.18,987.25,31.76,3.21,1228.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1023.6,1038.34,1042.75,1021.79,16.4,1.6,1499.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1034.52,1034.26,1042.96,1019.45,-4.08,-0.39,1251.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1031.89,1027.43,1036.25,1023.16,-6.83,-0.66,882.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1123.33,900.69
2013-01-18,1036.3,1038.43,1041.35,1023.02,11.0,1.07,1061.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1128.43,904.77
2013-01-21,1039.27,1036.45,1040.8,1031.99,-1.98,-0.19,1167.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1133.21,908.61
2013-01-22,1030.81,1022.64,1033.39,1013.61,-13.81,-1.33,1429.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1135.4,910.36
2013-01-23,1017.46,1025.38,1026.02,1014.79,2.74,0.27,1026.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1137.22,911.82
2013-01-24,1024.19,1006.01,1037.64,998.78,-19.37,-1.89,1351.01,0.0,0.0,0.0,0.0,0.0,0.0,2,1136.76,911.45
2013-01-25,1005.16,1003.13,1007.45,1000.44,-2.88,-0.29,822.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1138.2,912.61
2013-01-28,1006.09,1019.33,1019.33,1004.42,16.2,1.61,1158.78,0.0,0.0,0.0,45.36,61.91,12.27,2,1137.91,912.37
2013-01-29,1018.48,1028.36,1029.27,1014.83,9.03,0.89,1244.21,0.0,0.0,0.0,53.4,59.08,42.06,2,1136.8,911.49
2013-01-30,1028.74,1029.85,1033.54,1024.89,1.49,0.14,1236.62,0.0,0.0,0.0,59.93,59.36,61.07,2,1136.31,911.09
2013-01-31,1032.81,1026.89,1032.81,1023.28,-2.96,-0.29,1276.39,1048.52,1017.83,987.13,62.25,60.32,66.11,2,1136.25,911.05
2013-02-01,1023.19,1040.48,1040.48,1022.57,13.59,1.32,1287.45,1050.12,1020.23,990.33,74.84,65.16,94.18,2,1136.48,911.23
2013-02-04,1044.85,1032.23,1045.98,1031.78,-8.25,-0.79,1651.11,1049.79,1022.17,994.56,73.51,67.95,84.65,2,1136.01,910.85
2013-02-05,1028.7,1053.54,1053.99,1028.34,21.31,2.06,1408.2,1054.02,1024.7,995.38,82.07,72.65,100.9,2,1139.44,913.6
2013-02-06,1055.47,1053.6,1059.52,1051.55,0.06,0.01,1066.57,1057.88,1026.93,995.99,84.71,76.67,100.78,2,1142.57,916.11
2013-02-07,1054.26,1061.52,1064.15,1048.77,7.92,0.75,989.56,1062.88,1029.5,996.12,88.34,80.56,103.89,2,1148.73,921.05
2013-02-08,1062.22,1074.01,1079.89,1062.22,12.49,1.18,946.61,1067.32,1033.69,1000.06,89.21,83.44,100.75,0,1156.6,927.36
2013-02-18,1078.94,1062.71,1078.94,1058.65,-11.3,-1.05,1126.67,1071.16,1035.73,1000.3,82.82,83.24,81.98,0,1161.41,931.22
2013-02-19,1059.09,1038.58,1061.09,1035.27,-24.13,-2.27,1102.96,1071.17,1035.74,1000.31,64.52,77.0,39.57,2,1162.55,932.13
2013-02-20,1040.95,1057.66,1057.66,1038.35,19.08,1.84,1020.68,1073.59,1036.91,1000.23,63.42,72.47,45.32,2,1165.64,934.61
2013-02-21,1042.52,1037.12,1050.55,1028.06,-20.54,-1.94,1327.95,1073.82,1037.4,1000.97,48.11,64.35,15.62,2,1166.77,935.52
2013-02-22,1037.28,1038.91,1047.87,1037.28,1.79,0.17,893.99,1073.85,1037.42,1000.99,39.05,55.92,5.31,2,1166.6,935.38
2013-02-25,1041.86,1041.35,1044.56,1035.46,2.44,0.23,771.96,1074.13,1037.66,1001.2,34.58,48.8,6.13,2,1167.61,936.19
2013-02-26,1037.14,1023.91,1047.48,1023.27,-17.44,-1.67,1049.7,1074.09,1037.73,1001.37,23.43,40.35,-10.4,2,1164.32,933.55
2013-02-27,1031.15,1025.44,1035.23,1017.12,1.53,0.15,789.18,1074.09,1037.73,1001.37,20.04,33.58,-7.04,2,1161.19,931.05
2013-02-28,1031.64,1043.6,1043.6,1021.3,18.16,1.77,1021.62,1072.98,1039.61,1006.24,27.64,31.6,19.72,2,1159.21,929.45
2013-03-01,1041.87,1049.67,1050.12,1036.02,6.07,0.58,963.45,1071.02,1041.94,1012.85,43.1,35.43,58.44,2,1156.5,927.29
2013-03-04,1036.53,1013.68,1041.02,1006.58,-35.99,-3.43,1424.94,1071.71,1041.66,1011.6,33.37,34.74,30.61,2,1151.06,922.92
2013-03-05,1016.95,1035.43,1035.54,1010.45,21.75,2.15,1165.63,1071.59,1042.01,1012.43,44.12,37.87,56.61,2,1150.71,922.64
2013-03-06,1040.43,1049.28,1050.03,1038.19,13.85,1.34,1335.07,1072.17,1042.98,1013.79,62.1,45.95,94.41,2,1149.78,921.9
2013-03-07,1043.12,1037.15,1051.03,1027.3,-12.13,-1.16,1231.17,1071.89,1043.49,1015.1,64.33,52.07,88.83,2,1149.78,921.9
2013-03-08,1040.32,1027.14,1041.8,1026.74,-10.01,-0.97,855.43,1072.08,1042.83,1013.57,58.3,54.15,66.61,2,1148.48,920.85
2013-03-11,1021.39,1025.16,1030.84,1017.22,-1.98,-0.19,691.98,1072.4,1042.47,1012.55,52.8,53.7,51.0,2,1146.68,919.41
2013-03-12,1025.16,1005.97,1032.92,994.47,-19.19,-1.87,999.01,1073.48,1040.09,1006.7,41.98,49.79,26.35,2,1144.69,917.81
2013-03-13,1003.33,999.59,1004.8,990.02,-6.38,-0.63,814.81,1074.51,1037.39,1000.28,33.21,44.27,11.11,2,1141.82,915.51
2013-03-14,995.94,1004.85,1009.37,995.94,5.26,0.53,629.49,1072.52,1034.56,996.6,30.25,39.59,11.55,2,1137.52,912.06
2013-03-15,1004.72,1005.88,1023.74,995.35,1.03,0.1,1080.73,1066.47,1031.15,995.83,28.83,36.0,14.48,2,1132.66,908.17
2013-03-18,1003.02,992.5,1008.41,991.68,-13.38,-1.33,1064.28,1063.67,1027.64,991.62,20.57,30.86,0.0,2,1130.31,906.28
2013-03-19,994.84,989.53,996.97,978.56,-2.97,-0.3,922.55,1064.44,1025.19,985.94,18.76,26.83,2.63,2,1125.21,902.2
2013-03-20,990.36,1017.63,1017.63,989.38,28.1,2.84,1073.6,1059.59,1023.19,986.79,33.1,28.92,41.47,2,1121.7,899.38
2013-03-21,1017.57,1026.02,1029.8,1015.59,8.39,0.82,1025.42,1058.5,1022.63,986.77,51.17,36.34,80.84,2,1120.46,898.39
2013-03-22,1024.63,1029.81,1032.46,1023.19,3.79,0.37,952.92,1057.44,1022.18,986.92,65.54,46.07,104.48,2,1120.76,898.63
2013-03-25,1032.66,1026.87,1033.79,1021.36,-2.94,-0.29,893.31,1055.69,1021.46,987.22,72.85,55.0,108.56,2,1120.95,898.78
2013-03-26,1019.95,1018.64,1023.25,1007.29,-8.23,-0.8,847.31,1055.43,1021.19,986.96,72.76,60.92,96.44,2,1122.36,899.91
2013-03-27,1020.29,1014.59,1027.25,1009.07,-4.05,-0.4,820.8,1054.94,1020.65,986.36,70.25,64.03,82.69,2,1124.02,901.24
2013-03-28,1000.63,992.35,1000.63,990.28,-22.24,-2.19,954.65,1052.79,1018.09,983.38,55.16,61.07,43.33,2,1122.63,900.13
2013-03-29,994.6,987.63,996.82,984.17,-4.72,-0.48,666.15,1048.93,1014.99,981.04,42.24,54.8,17.14,2,1120.61,898.51
2013-04-01,985.3,989.37,992.65,983.04,1.74,0.18,751.2,1049.5,1013.77,978.04,32.32,47.3,2.35,2,1120.26,898.23
2013-04-02,990.85,977.76,999.82,976.05,-11.61,-1.17,798.33,1048.43,1010.89,973.35,22.53,39.05,-10.49,2,1118.95,897.18
2013-04-03,981.78,971.4,982.57,967.91,-6.36,-0.65,651.95,1043.95,1006.99,970.04,16.79,31.63,-12.89,2,1113.82,893.07
2013-04-08,953.85,978.77,978.83,952.66,7.37,0.76,706.75,1040.25,1004.07,967.9,21.92,28.39,8.98,2,1108.58,888.86
2013-04-09,982.69,984.76,989.38,980.03,5.99,0.61,669.46,1037.44,1001.95,966.47,28.96,28.58,29.71,2,1103.58,884.85
2013-04-10,985.13,985.64,991.24,977.6,0.88,0.09,832.53,1034.46,999.98,965.5,34.04,30.4,41.33,2,1099.0,881.18
2013-04-11,991.44,981.04,991.44,980.34,-4.6,-0.47,636.95,1034.05,998.73,963.41,42.42,34.41,58.44,2,1094.83,877.83
2013-04-12,978.2,978.71,987.72,977.84,-2.33,-0.24,581.88,1034.06,997.69,961.31,46.69,38.5,63.07,2,1090.84,874.64
2013-04-15,973.37,960.71,973.37,958.84,-18.0,-1.84,655.89,1035.06,995.48,955.9,36.82,37.94,34.57,2,1087.33,871.83
2013-04-16,951.87,968.14,969.85,949.41,7.43,0.77,648.25,1034.59,993.59,952.6,36.93,37.6,35.58,2,1085.17,870.09
