time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.37,1038.33,1043.94,1003.53,0.0,3.83,875.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1036.46,1049.95,1050.1,1035.28,0.0,1.12,610.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1048.48,1041.08,1048.48,1031.34,0.0,-0.85,451.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1039.08,1032.51,1042.69,1025.49,0.0,-0.82,391.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1034.0,1032.98,1042.01,1028.27,0.0,0.05,369.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1036.19,1019.0,1038.2,1017.8,0.0,-1.35,396.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1021.23,1054.19,1054.87,1021.23,0.0,3.45,562.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1053.72,1073.16,1077.07,1051.15,0.0,1.8,715.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1072.17,1050.82,1072.17,1039.06,0.0,-2.08,543.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1047.69,1035.15,1047.69,1031.98,0.0,-1.49,340.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1157.42,928.02
2013-01-18,1042.32,1050.15,1050.23,1030.94,0.0,1.45,478.01,0.0,0.0,0.0,0.0,0.0,0.0,2,1158.73,929.07
2013-01-21,1049.55,1053.23,1055.52,1042.4,0.0,0.29,462.32,0.0,0.0,0.0,0.0,0.0,0.0,2,1159.09,929.36
2013-01-22,1053.64,1033.27,1053.64,1028.5,0.0,-1.9,451.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1158.23,928.67
2013-01-23,1030.69,1029.87,1035.63,1015.55,0.0,-0.33,405.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1157.93,928.43
2013-01-24,1027.71,1011.04,1040.66,1008.66,0.0,-1.83,541.14,0.0,0.0,0.0,0.0,0.0,0.0,2,1155.5,926.48
2013-01-25,1010.04,1001.53,1010.42,1001.21,0.0,-0.94,307.67,0.0,0.0,0.0,0.0,0.0,0.0,2,1153.56,924.92
2013-01-28,1003.39,1025.7,1025.7,1003.39,0.0,2.41,367.64,0.0,0.0,0.0,23.66,30.96,9.06,2,1150.4,922.39
2013-01-29,1025.86,1026.61,1030.07,1022.24,0.0,0.09,365.29,0.0,0.0,0.0,31.36,31.09,31.9,2,1145.23,918.25
2013-01-30,1026.03,1029.29,1029.76,1020.77,0.0,0.26,348.57,0.0,0.0,0.0,38.14,33.44,47.54,2,1142.84,916.33
2013-01-31,1028.11,1025.35,1028.4,1022.53,0.0,-0.38,325.88,1067.82,1035.66,1003.5,40.24,35.71,49.31,2,1141.75,915.46
2013-02-01,1024.46,1025.95,1027.72,1020.52,0.0,0.06,374.05,1067.45,1035.04,1002.63,42.56,37.99,51.69,2,1139.06,913.3
2013-02-04,1027.26,1025.57,1028.57,1018.77,0.0,-0.04,446.35,1065.73,1033.82,1001.92,48.96,41.65,63.57,2,1135.99,910.84
2013-02-05,1021.72,1075.26,1079.41,1021.72,0.0,4.85,1024.98,1072.12,1035.53,998.94,64.2,49.17,94.27,2,1140.65,914.58
2013-02-06,1077.69,1062.61,1077.69,1056.42,0.0,-1.18,561.85,1075.44,1037.04,998.63,68.97,55.77,95.38,2,1144.29,917.49
2013-02-07,1060.2,1064.27,1067.78,1056.74,0.0,0.16,335.51,1078.73,1038.6,998.48,72.68,61.4,95.22,2,1150.2,922.23
2013-02-08,1064.03,1067.98,1071.9,1064.03,0.0,0.35,385.34,1082.06,1041.05,1000.04,75.5,66.1,94.3,2,1157.57,928.14
2013-02-18,1073.55,1065.39,1073.55,1064.45,0.0,-0.24,381.81,1083.62,1041.61,999.6,75.96,69.39,89.1,2,1161.98,931.68
2013-02-19,1066.65,1054.98,1080.89,1051.11,0.0,-0.98,510.58,1080.67,1040.7,1000.73,70.07,69.62,70.98,2,1165.13,934.2
2013-02-20,1053.72,1060.72,1060.72,1047.91,0.0,0.54,309.37,1081.9,1041.2,1000.49,69.22,69.49,68.7,2,1168.62,937.0
2013-02-21,1051.75,1022.64,1051.75,1019.82,0.0,-3.59,415.05,1082.0,1040.57,999.14,48.23,62.4,19.88,2,1168.32,936.76
2013-02-22,1022.53,1016.89,1026.64,1016.65,0.0,-0.56,244.51,1081.33,1038.91,996.49,32.28,52.36,-7.89,2,1167.31,935.95
2013-02-25,1028.08,1025.44,1029.94,1021.08,0.0,0.84,241.51,1079.79,1037.52,995.25,26.08,43.6,-8.96,2,1167.3,935.94
2013-02-26,1020.93,999.32,1021.22,998.55,0.0,-2.55,370.38,1081.25,1035.82,990.39,17.7,34.96,-16.84,2,1158.87,929.18
2013-02-27,1001.4,997.87,1009.85,989.76,0.0,-0.15,306.39,1082.53,1034.22,985.91,14.76,28.23,-12.17,2,1151.68,923.42
2013-02-28,1001.17,1021.67,1021.67,997.07,0.0,2.39,342.33,1082.26,1034.75,987.24,21.51,25.99,12.56,2,1146.95,919.63
2013-03-01,1022.34,1019.07,1022.34,1008.29,0.0,-0.26,296.29,1081.26,1035.63,989.99,25.06,25.68,23.83,2,1141.52,915.28
2013-03-04,1012.97,985.36,1012.97,981.67,0.0,-3.31,409.38,1084.13,1033.61,983.1,18.27,23.21,8.38,2,1132.64,908.15
2013-03-05,985.54,1000.88,1000.88,985.54,0.0,1.58,276.0,1084.76,1032.33,979.89,21.31,22.58,18.79,2,1126.63,903.34
2013-03-06,1005.61,1015.73,1018.14,1005.12,0.0,1.48,331.37,1084.57,1031.65,978.72,37.73,27.63,57.93,2,1121.64,899.33
2013-03-07,1013.0,1013.69,1024.94,1008.59,0.0,-0.2,328.33,1084.51,1031.06,977.62,47.27,34.17,73.45,2,1120.65,898.54
2013-03-08,1013.22,1008.72,1014.43,1007.9,0.0,-0.49,238.93,1084.5,1030.2,975.91,52.35,40.23,76.58,2,1119.74,897.81
2013-03-11,1009.82,1011.63,1023.84,1006.85,0.0,0.29,248.07,1084.38,1029.51,974.64,57.98,46.15,81.64,2,1118.21,896.58
2013-03-12,1011.54,982.17,1011.71,973.79,0.0,-2.91,314.87,1079.2,1024.85,970.5,44.11,45.47,41.4,2,1116.3,895.05
