time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2143.06,2144.3,2156.7,2141.33,-5.37,-0.25,4595.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2141.52,2156.44,2164.48,2137.63,12.14,0.57,6042.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2157.99,2140.18,2161.34,2135.58,-16.27,-0.75,5730.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2135.15,2133.93,2145.09,2124.87,-6.25,-0.29,5739.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2137.07,2148.85,2149.94,2132.54,14.92,0.7,5587.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2160.47,2228.31,2246.4,2160.47,79.46,3.7,13914.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2228.62,2235.76,2241.3,2220.67,7.45,0.33,10321.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2228.02,2220.72,2228.02,2206.75,-15.04,-0.67,8015.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2230.34,2226.97,2238.9,2208.72,6.25,0.28,8382.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2224.11,2210.02,2230.67,2209.62,-16.96,-0.76,7877.63,0.0,0.0,0.0,0.0,0.0,0.0,2,2424.85,1944.25
2012-09-14,2227.87,2224.15,2237.16,2210.8,14.13,0.64,9093.76,0.0,0.0,0.0,0.0,0.0,0.0,2,2433.71,1951.35
2012-09-17,2220.74,2176.7,2221.78,2175.63,-47.45,-2.13,7598.68,0.0,0.0,0.0,0.0,0.0,0.0,2,2435.96,1953.16
2012-09-18,2167.1,2156.81,2172.79,2150.65,-19.89,-0.91,5358.55,0.0,0.0,0.0,0.0,0.0,0.0,2,2437.81,1954.64
2012-09-19,2158.39,2165.43,2167.69,2152.2,8.63,0.4,5203.14,0.0,0.0,0.0,0.0,0.0,0.0,2,2441.3,1957.44
2012-09-20,2157.52,2120.36,2157.52,2118.53,-45.07,-2.08,6722.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2438.14,1954.91
2012-09-21,2115.87,2122.3,2138.31,2113.43,1.94,0.09,6010.16,0.0,0.0,0.0,0.0,0.0,0.0,2,2426.37,1945.47
2012-09-24,2110.82,2129.09,2137.15,2099.81,6.79,0.32,5748.23,0.0,0.0,0.0,22.17,36.11,-5.69,2,2414.53,1935.98
2012-09-25,2124.29,2125.01,2135.28,2117.14,-4.07,-0.19,4811.49,0.0,0.0,0.0,20.9,31.04,0.62,1,2403.91,1927.46
2012-09-26,2123.51,2098.74,2128.95,2093.81,-26.28,-1.24,5022.42,0.0,0.0,0.0,15.08,25.72,-6.2,1,2389.68,1916.05
2012-09-27,2097.54,2153.4,2165.74,2096.78,54.67,2.6,7641.58,2249.84,2165.87,2081.91,25.57,25.67,25.38,2,2383.39,1911.01
2012-09-28,2139.29,2184.71,2188.36,2136.63,31.31,1.45,7919.98,2251.63,2167.89,2084.16,49.1,33.48,80.33,2,2379.01,1907.5
2012-10-08,2183.32,2172.39,2195.33,2160.48,-12.32,-0.56,5492.87,2252.28,2168.69,2085.11,58.53,41.83,91.94,2,2378.53,1907.11
2012-10-09,2179.93,2215.19,2219.53,2179.93,42.81,1.97,8417.05,2257.29,2172.44,2087.59,71.2,51.62,110.37,2,2385.01,1912.31
2012-10-10,2211.36,2220.15,2222.31,2201.87,4.96,0.22,7862.55,2262.1,2176.75,2091.41,80.24,61.16,118.4,2,2391.09,1917.18
2012-10-11,2214.15,2202.25,2217.93,2200.43,-17.9,-0.81,7424.98,2264.45,2179.42,2094.39,81.62,67.98,108.91,2,2400.18,1924.47
2012-10-12,2208.78,2204.4,2227.92,2191.38,2.15,0.1,6808.52,2261.12,2178.23,2095.34,81.9,72.62,100.47,2,2409.29,1931.77
2012-10-15,2204.5,2197.91,2206.82,2183.64,-6.49,-0.29,5373.38,2255.53,2176.34,2097.14,80.48,75.24,90.95,2,2416.93,1937.9
2012-10-16,2196.17,2197.98,2211.62,2188.44,0.08,0.0,5759.78,2252.44,2175.2,2097.95,79.37,76.62,84.89,2,2425.03,1944.39
2012-10-17,2203.74,2205.14,2213.08,2186.69,7.16,0.33,5973.05,2248.97,2174.11,2099.24,77.93,77.06,79.68,2,2436.84,1953.86
2012-10-18,2208.17,2232.48,2238.78,2207.11,27.35,1.24,8689.04,2252.84,2175.23,2097.62,82.61,78.91,90.01,2,2445.62,1960.9
2012-10-19,2230.52,2228.94,2237.92,2226.25,-3.54,-0.16,6744.16,2253.71,2175.47,2097.23,82.83,80.21,88.06,2,2450.53,1964.84
